Date,KWH,MMBTU
07/06/2020,51967.91,2187.38
07/07/2020,61780.16,4126.15
07/08/2020,61252.82,3999.02
07/09/2020,62432.04,4028.27
07/10/2020,61975.78,3895.16
07/11/2020,60064.13,6839.81
07/12/2020,33539.42,2266.3
07/13/2020,49105.93,3685.2
07/14/2020,61753.5,3834.29
07/15/2020,62407.51,4014.48
07/16/2020,-888230.03,3825.33
07/17/2020,61715.13,3737.68
07/18/2020,60710.67,3104.23
07/19/2020,36259.2,0
07/20/2020,53720.25,6367.53
07/21/2020,59976.23,3575.94
07/22/2020,61447.53,3845.59
07/23/2020,61329.54,3924.96
07/24/2020,58509.57,3645.03
07/25/2020,58622.35,3054.94
07/26/2020,34685.94,0
07/27/2020,25630.62,3288.35
07/28/2020,57727.89,3977.35
07/29/2020,60513.8,0
07/30/2020,61394.29,4101.85
07/31/2020,62687.3,4148.53
08/01/2020,59862.19,4235.03
08/02/2020,42840.05,7117.62
08/03/2020,60169.54,4443.52
08/04/2020,66770.25,4384.96
08/05/2020,66913.38,4568.85
08/06/2020,66830.01,4506.11
08/07/2020,66580.2,4281.42
08/08/2020,64565.2,3684.14
08/09/2020,42701.35,2996.58
08/10/2020,56217.09,4072.19
08/11/2020,60756.86,8870.21
08/12/2020,64318.4,0
08/13/2020,63851.1,4388.02
08/14/2020,65499.98,4455.57
08/15/2020,64652.82,3650.62
08/16/2020,47595,3254.41
08/17/2020,63071.4,4422.03
08/18/2020,66617.74,9364.34
08/19/2020,66948.64,0
08/20/2020,69577.91,4721.69
08/21/2020,68968.99,4745.46
08/22/2020,67338.19,4003.91
08/23/2020,47534.72,3526.25
08/24/2020,60239.57,4647.51
08/25/2020,69964.77,4784.2
08/26/2020,68215.33,9855.94
08/27/2020,69408.5,0
08/28/2020,68335.06,0
08/29/2020,67370.48,NULL
08/30/2020,46914.51,3466.27
08/31/2020,62561.8,0
09/01/2020,67143.21,14744.39
09/02/2020,68190.92,0
09/03/2020,69700.53,0
09/04/2020,70148.8,5222.22
09/05/2020,-9898055.18,13163.95
09/06/2020,13595.36,0
09/07/2020,61137.39,5137.4
09/08/2020,68428.83,5116.22
09/09/2020,70017.09,5245.55
09/10/2020,72077.19,5238.59
09/11/2020,71430,5304.4
09/12/2020,70496.34,4570.44
09/13/2020,51628.19,0
09/14/2020,57545.6,9940.64
09/15/2020,63343.09,0
09/16/2020,68276.55,5402.39
09/17/2020,69158.65,5455.72
09/18/2020,72089.52,5371.03
09/19/2020,70125.78,5089.63
09/20/2020,56601.49,3979.23
09/21/2020,63831.02,5261.32
09/22/2020,70545.26,5050.73
09/23/2020,69508.96,4995.54
09/24/2020,69342.9,5109.78
09/25/2020,69775.81,5091.48
09/26/2020,67272.38,0
09/27/2020,55658.16,8847.15
09/28/2020,62959.55,0
09/29/2020,72697.5,5453.55
09/30/2020,71587.93,5288.07
10/01/2020,70490.25,5377.63
10/02/2020,70852.99,5361.21
10/03/2020,71371.62,0
10/04/2020,56944.34,9399.17
10/05/2020,63462.23,0
10/06/2020,69994.84,0
10/07/2020,70793.19,5168.27
10/08/2020,71058.49,0
10/09/2020,69928.29,10280.48
10/10/2020,67306.77,4860.93
10/11/2020,49519.86,3898.69
10/12/2020,58747.99,5183.94
10/13/2020,63357.63,5166.55
10/14/2020,66113.51,0
10/15/2020,-886382.79,5320.42
10/16/2020,65431.7,10375.45
10/17/2020,64114.53,4344.35
10/18/2020,52421.26,3871
10/19/2020,60406.15,4774.05
10/20/2020,65296.21,5007.8
10/21/2020,68517.93,5116.78
10/22/2020,68251.98,5365.17
10/23/2020,67952.33,5302.01
10/24/2020,68130.07,4858.74
10/25/2020,50081,0
10/26/2020,62177.66,3841.69
10/27/2020,66584.34,11004.02
10/28/2020,70079.23,0
10/29/2020,79295.99,10984.69
10/30/2020,59448.5,5637.95
10/31/2020,68499.34,5061.28
11/01/2020,53530.82,4241.06
11/02/2020,57910.33,5274.11
11/03/2020,66923.32,5396.26
11/04/2020,65542.66,5603.44
11/05/2020,67610.23,5358.7
11/06/2020,69476.83,5386.55
11/07/2020,67893.36,4858.2
11/08/2020,51454.53,3840.6
11/09/2020,58538.58,4960.8
11/10/2020,64352.71,5122.89
11/11/2020,67636.92,5091.3
11/12/2020,68220.4,5191.04
11/13/2020,67790.13,5084.65
11/14/2020,65956.64,4885.88
11/15/2020,55457.84,3827.35
11/16/2020,55986.56,4521.66
11/17/2020,63430.32,5136.91
11/18/2020,63270.41,5150.76
11/19/2020,66333.04,5240.37
11/20/2020,64521.43,5467.87
11/21/2020,66007.11,5267.34
11/22/2020,53144.44,4531.95
11/23/2020,56617.1,5592.43
11/24/2020,64397.7,0
11/25/2020,66635.34,10371.44
11/26/2020,62352.28,0
11/27/2020,61309.85,5145.15
11/28/2020,NULL,10379.52
11/29/2020,139092.02,3856.89
11/30/2020,33540.97,9096.17
12/01/2020,70745.55,5226.77
12/02/2020,78479.6,0
12/03/2020,51773.63,10727.28
12/04/2020,66328.8,10028.01
12/05/2020,65275.71,0
12/06/2020,52846.23,0
12/07/2020,18107.13,0
12/09/2020,198892.89,8917.49
12/10/2020,51856.79,5151.62
12/11/2020,63999.11,10960.39
12/12/2020,65514.71,4830.81
12/13/2020,51814.15,4554.36
12/14/2020,60433.11,5517.2
12/15/2020,74556.16,5314.04
12/16/2020,57629.58,5594.33
12/17/2020,65674.13,5557.06
12/18/2020,65154,5245.96
12/19/2020,63962.7,0
12/20/2020,67494.17,12315.31
12/21/2020,10362.59,5056.61
12/22/2020,63554.83,5166.05
12/23/2020,58834.83,3925.86
12/24/2020,42391.75,2458.06
12/25/2020,39521.64,3027.19
12/26/2020,46381.36,4400.09
12/27/2020,45703.21,3446.08
12/28/2020,52928.37,4909.27
12/29/2020,58188.57,5155.06
12/30/2020,58252.46,4116.21
12/31/2020,29776.46,2340.09
01/01/2021,19565.92,2921.91
01/02/2021,41601.21,4142.47
01/03/2021,48201.3,0
01/04/2021,56133.52,10531.56
01/05/2021,64144.4,0
01/06/2021,64481.87,5374.26
01/07/2021,63240.82,5606.81
01/08/2021,62136.38,5632.72
01/09/2021,65123.77,5467.93
01/10/2021,56425,7686.31
01/11/2021,64084.25,0
01/12/2021,75626.71,6000.78
01/13/2021,73738.38,5858.8
01/14/2021,70909.68,5861.14
01/15/2021,72183.3,5717.58
